Component,Filename,fileFormat,resourceType,dataType,dataSubtype,assay,individualID,species,sex,age,ageUnit,diagnosis,nf1Genotype,nf2Genotype,tumorType,modelSystemName,organ,comments,parentSpecimenID,specimenID,aliquotID,platform,nucleicAcidSource,specimenPreparationMethod,specimenType,runType,libraryStrand,libraryPrep,libraryPreparationMethod,readPair,readLength,readDepth,targetDepth,batchID,genePerturbed,genePerturbationType,genePerturbationTechnology,experimentalCondition,isCellLine,eTag,fundingAgency,studyId,studyName,initiative,entityId
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016805_SRR31653905_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276306,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Homo sapiens, sample PDX16-V2, collected during a study on SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study investigates resistance and potential combination treatments.",SAMN45276306,GSM8674112: PDX16-V2,SRR31653905_PDX16-V2,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653905,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,0ee1f986-29a8-4f49-a7cb-fcc52dd8ea1d,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647662
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016810_SRR31653900_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276300,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Homo sapiens, sample PDX16-S1, from a study exploring SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The research focuses on resistance mechanisms and combination therapy efficacy.",SAMN45276300,GSM8674117: PDX16-S1,SRR31653900_PDX16-S1,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653900,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,1dae4b18-f90a-4fcb-869f-4598dc62cdf8,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647663
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016809_SRR31653901_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276301,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Homo sapiens, sample PDX16-S3, part of a study on SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to understand resistance and evaluate novel treatment approaches.",SAMN45276301,GSM8674116: PDX16-S3,SRR31653901_PDX16-S3,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653901,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,cd1f8b54-5ceb-4a67-8622-b300fe0d29e0,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647664
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016806_SRR31653904_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276305,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Homo sapiens, sample PDX16-S4, from a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The research explores resistance mechanisms and potential combination treatments.",SAMN45276305,GSM8674113: PDX16-S4,SRR31653904_PDX16-S4,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653904,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,0d551a8a-d7b1-49f1-9c67-79a853795dfc,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647665
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016802_SRR31653908_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276309,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus, sample S4, collected during a study on SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to understand resistance mechanisms and potential therapeutic combinations.",SAMN45276309,GSM8674109: S4,SRR31653908_S4,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653908,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,8ad359e7-a112-4a2b-a815-cf61609f8d88,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647666
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016810_SRR31653900_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276300,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Homo sapiens, sample PDX16-S1, from a study exploring SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The research focuses on resistance mechanisms and combination therapy efficacy.",SAMN45276300,GSM8674117: PDX16-S1,SRR31653900_PDX16-S1,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653900,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,c77f53be-c42b-43e3-a6f1-cbda15c0d43d,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647667
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016811_SRR31653899_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276299,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Homo sapiens, sample PDX16-V4, part of a study on SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to understand resistance and evaluate novel treatment approaches.",SAMN45276299,GSM8674118: PDX16-V4,SRR31653899_PDX16-V4,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653899,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,01035daf-098c-40c3-b2db-70e466e10bf7,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647668
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016813_SRR31653897_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276297,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus, sample Shp-21-Day-1, from a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The research explores resistance mechanisms and potential combination treatments.",SAMN45276297,GSM8674120: Shp-21-Day-1,SRR31653897_Shp-21-Day-1,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653897,SHP2,,,SHP2 inhibition for 1 day in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,3a241f37-a052-4574-96d9-7a1c7985fa8a,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647669
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016806_SRR31653904_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276305,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Homo sapiens, sample PDX16-S4, from a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The research explores resistance mechanisms and potential combination treatments.",SAMN45276305,GSM8674113: PDX16-S4,SRR31653904_PDX16-S4,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653904,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,8b7e776f-86a3-4f85-885a-ec002db76d9e,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647670
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016804_SRR31653906_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276307,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus, sample V1, collected during a study on SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to understand resistance mechanisms and potential therapeutic combinations.",SAMN45276307,GSM8674111: V1,SRR31653906_V1,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653906,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,fc298624-055c-407a-89f0-301f35e84f45,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647671
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016807_SRR31653903_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276304,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Homo sapiens, sample PDX16-V3, part of a study on SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to understand resistance and evaluate novel treatment approaches.",SAMN45276304,GSM8674114: PDX16-V3,SRR31653903_PDX16-V3,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653903,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,ee198910-93eb-43c7-acc3-b348f922536d,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647672
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016805_SRR31653905_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276306,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Homo sapiens, sample PDX16-V2, collected during a study on SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study investigates resistance and potential combination treatments.",SAMN45276306,GSM8674112: PDX16-V2,SRR31653905_PDX16-V2,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653905,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,584e00f8-47a7-4ad6-8e56-430bf9b0ce35,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647673
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016809_SRR31653901_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276301,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Homo sapiens, sample PDX16-S3, part of a study on SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to understand resistance and evaluate novel treatment approaches.",SAMN45276301,GSM8674116: PDX16-S3,SRR31653901_PDX16-S3,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653901,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,7d7616e8-d7c5-4cab-a067-23a19e5f809c,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647674
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016808_SRR31653902_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276302,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Homo sapiens, sample PDX16-V1, from a study exploring SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The research focuses on resistance mechanisms and combination therapy efficacy.",SAMN45276302,GSM8674115: PDX16-V1,SRR31653902_PDX16-V1,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653902,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,5f8dff97-a1c5-4d38-aa90-b86def1c899a,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647675
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016812_SRR31653898_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276298,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Homo sapiens, sample PDX16-S2, part of a study on SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to understand resistance and evaluate novel treatment approaches.",SAMN45276298,GSM8674119: PDX16-S2,SRR31653898_PDX16-S2,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653898,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,9d9e4e74-d3bb-46cd-b5fd-e3a1a3ff81e9,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647676
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016813_SRR31653897_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276297,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus, sample Shp-21-Day-1, from a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The research explores resistance mechanisms and potential combination treatments.",SAMN45276297,GSM8674120: Shp-21-Day-1,SRR31653897_Shp-21-Day-1,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653897,SHP2,,,SHP2 inhibition for 1 day in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,2e0141b7-0418-40e0-9cf3-d43252e12f77,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647677
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016812_SRR31653898_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276298,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Homo sapiens, sample PDX16-S2, part of a study on SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study aims to understand resistance and evaluate novel treatment approaches.",SAMN45276298,GSM8674119: PDX16-S2,SRR31653898_PDX16-S2,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653898,SHP2,,,SHP2 inhibition in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,d088b5dd-1f81-4897-8db4-4f62815975f9,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647678
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016821_SRR31653889_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276287,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus, sample Shp-21-Day-5, from a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The research explores resistance mechanisms and potential combination treatments.",SAMN45276287,GSM8674128: Shp-21-Day-5,SRR31653889_Shp-21-Day-5,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653889,SHP2,,,SHP2 inhibition for 5 days in NF1-associated Malignant Peripheral Nerve Sheath Tumors,No,7716c529-74c3-4e04-a99c-614937c38cc2,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647679
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016821_SRR31653889_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276287,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus, sample Shp-21-Day-5, part of a study on SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The study investigates mechanisms of acquired resistance and the role of autophagy.",SAMN45276287,GSM8674128: Shp-21-Day-5,SRR31653889,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653889_Shp-21-Day-5_Illumina NovaSeq 6000,SHP2,,,Shp-21-Day-5,No,6f562194-dde7-44f9-b560-304fdf5f5ad6,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647680
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016819_SRR31653891_2.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276290,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus, sample Shp-5-Day-1, from a study exploring SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The research focuses on acquired resistance and autophagy pathway activation.",SAMN45276290,GSM8674126: Shp-5-Day-1,SRR31653891,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 2,,,Not specified,SRR31653891_Shp-5-Day-1_Illumina NovaSeq 6000,SHP2,,,Shp-5-Day-1,No,7260b723-686a-4fe4-b376-ba35d5fd61aa,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647681
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016815_SRR31653895_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276294,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus, sample Shp-21-Day-4, involved in a study on SHP2 inhibition and hydroxychloroquine for NF1-associated MPNSTs. The study aims to understand resistance mechanisms and autophagy's role.",SAMN45276294,GSM8674122: Shp-21-Day-4,SRR31653895,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653895_Shp-21-Day-4_Illumina NovaSeq 6000,SHP2,,,Shp-21-Day-4,No,d756dfaf-9dfd-4f93-8b09-b2b35b85e654,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647682
RNASeqTemplate,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors/Raw Data/RNAseq_MPNST_SHP2i_timecourse/fastq/md5/SRX27016823_SRR31653887_1.fastq.gz.md5,fastq,experimentalData,gene expression,raw,RNA-seq,SAMN45276285,Mus musculus,Unknown,not provided,days,Neurofibromatosis type 1,-/-,Unknown,Malignant Peripheral Nerve Sheath Tumor,MPNST-Nf1-S462,nerves,"RNA-Seq data from Mus musculus, sample VEH-5-Day-1, from a study investigating SHP2 inhibition and hydroxychloroquine in NF1-associated MPNSTs. The research explores acquired resistance and autophagy pathway activation.",SAMN45276285,GSM8674130: VEH-5-Day-1,SRR31653887,Illumina NovaSeq 6000,bulk cell,,PDX tissue,pairedEnd,Unstranded,polyAselection,Unknown,Read 1,,,Not specified,SRR31653887_VEH-5-Day-1_Illumina NovaSeq 6000,SHP2,,,VEH-5-Day-1,No,5c10670d-87a1-4e23-bb53-073b8bfd167b,NIH-NCI,syn68634225,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors,DHART-SPORE Project 1,syn68647683
